mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__max_delta_step,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_roc_auc_ovr_weighted,split1_test_roc_auc_ovr_weighted,split2_test_roc_auc_ovr_weighted,mean_test_roc_auc_ovr_weighted,std_test_roc_auc_ovr_weighted,rank_test_roc_auc_ovr_weighted,split0_train_roc_auc_ovr_weighted,split1_train_roc_auc_ovr_weighted,split2_train_roc_auc_ovr_weighted,mean_train_roc_auc_ovr_weighted,std_train_roc_auc_ovr_weighted
59.82452448209127,3.4050563589861182,1.4566415150960286,0.24934208791032164,0.55,8,0.1,160,40,2,1,0.05,2.0,0.55,"{'model__subsample': 0.55, 'model__reg_lambda': 8, 'model__reg_alpha': 0.1, 'model__n_estimators': 160, 'model__min_child_weight': 40, 'model__max_depth': 2, 'model__max_delta_step': 1, 'model__learning_rate': 0.05, 'model__gamma': 2.0, 'model__colsample_bytree': 0.55}",0.9608129898376271,0.9635129560880489,0.9619740493512338,0.9620999984256366,0.0011058486380336665,6,0.9628747679672998,0.9622935143344646,0.9617504781190235,0.9623062534735959,0.0004590777929600692,0.9638558675919835,0.9661765321143811,0.9652854902924409,0.9651059633329352,0.0009558742606538488,6,0.9657367766616628,0.9649076397349318,0.964863029578267,0.9651691486582873,0.00040178657616663334,0.9608129898376271,0.9635129560880489,0.9619740493512338,0.9620999984256366,0.0011058486380336665,6,0.9628747679672998,0.9622935143344646,0.9617504781190235,0.9623062534735959,0.0004590777929600692,0.96088391915902,0.9634136224716738,0.962126338521621,0.9621412933841049,0.0010328011904352874,6,0.9628725376319796,0.9622118167753368,0.9618213613495015,0.9623019052522727,0.0004338431701806285,0.9013634885243164,0.9122729378792129,0.9043779909371745,0.9060048057802345,0.004599921463602305,8,0.9089049151019638,0.9096849276827621,0.904255184101398,0.9076150089620413,0.002397001213627608,0.996142145874314,0.9970468946109827,0.9961403899048196,0.996443143463372,0.0004269171325039288,6,0.9964099151186747,0.996985241074828,0.996381999800802,0.9965923853314349,0.00027802463030061376
77.90598734219869,0.931176183713861,1.7725811004638672,0.14156752496033828,0.75,12,1.0,220,25,2,3,0.01,0.5,0.55,"{'model__subsample': 0.75, 'model__reg_lambda': 12, 'model__reg_alpha': 1.0, 'model__n_estimators': 220, 'model__min_child_weight': 25, 'model__max_depth': 2, 'model__max_delta_step': 3, 'model__learning_rate': 0.01, 'model__gamma': 0.5, 'model__colsample_bytree': 0.55}",0.9400757490531368,0.9439007012412345,0.9445736143403585,0.9428500215449098,0.001980848960033687,10,0.9403746273414209,0.94239963999775,0.9460756740540743,0.942949980464415,0.00235975131131808,0.949861417998298,0.9508225752385498,0.9500847210795893,0.950256238105479,0.00041070620298024117,10,0.9506987940035286,0.9500257724005875,0.9508577283268598,0.950527431576992,0.00036061195833036476,0.9400757490531368,0.9439007012412345,0.9445736143403585,0.9428500215449098,0.001980848960033687,10,0.9403746273414209,0.94239963999775,0.9460756740540743,0.942949980464415,0.00235975131131808,0.9432251036442196,0.9458140657183006,0.9460618558316526,0.9450336750647242,0.0012828478533763329,10,0.9436951704509278,0.9445640675844618,0.947286118133377,0.9451817853895889,0.0015296857584920789,0.8518208728731068,0.869416218130125,0.8751870515097586,0.8654747141709969,0.00993801342035883,10,0.855454917417951,0.8647870066993851,0.8759985597585846,0.8654134946253068,0.008398598116986088,0.9935514930061823,0.994316129444822,0.9937358440677949,0.993867822172933,0.00032581271307381183,10,0.9938295374240633,0.9942826573555119,0.9937881490315845,0.9939667812703865,0.00022399631786195539
69.29330499966939,6.255636492180706,2.8627825578053794,0.9778471596370194,0.65,20,0.1,160,40,3,3,0.03,0.5,0.75,"{'model__subsample': 0.65, 'model__reg_lambda': 20, 'model__reg_alpha': 0.1, 'model__n_estimators': 160, 'model__min_child_weight': 40, 'model__max_depth': 3, 'model__max_delta_step': 3, 'model__learning_rate': 0.03, 'model__gamma': 0.5, 'model__colsample_bytree': 0.75}",0.9652754340570743,0.9669629129635879,0.9669991749793745,0.9664125073333456,0.0008041684981623237,2,0.9670560441002757,0.966118538240864,0.9660441744478194,0.9664062522629863,0.000460474079824154,0.9676899072427027,0.9694724919564792,0.9693017859957259,0.9688213950649693,0.000803112134226351,2,0.9694404869174439,0.9686386044317493,0.9684417529193807,0.9688402814228579,0.00043195108232205247,0.9652754340570743,0.9669629129635879,0.9669991749793745,0.9664125073333456,0.0008041684981623237,2,0.9670560441002757,0.966118538240864,0.9660441744478194,0.9664062522629863,0.000460474079824154,0.9649215660130971,0.9666093352940938,0.9666274272656032,0.9660527761909314,0.0007999204875840969,2,0.9666969333524519,0.9657741971507906,0.9656886736203317,0.9660532680411914,0.0004564773402594941,0.919334561436023,0.9262227272395316,0.9268805540113254,0.9241459475622933,0.003412746826968191,2,0.9252260896421305,0.9231546394492652,0.9229298513068468,0.9237701934660808,0.0010335562180549182,0.9961707945977307,0.9971371632663262,0.9965129654289274,0.9966069744309948,0.00040007946732535627,3,0.9966920279804069,0.9971729011400354,0.9966354028673391,0.9968334439959271,0.00024114306316942675
77.04326216379802,9.108125851235535,3.4404898484547934,0.5124556396062266,0.75,8,1.0,160,10,2,1,0.05,1.0,0.75,"{'model__subsample': 0.75, 'model__reg_lambda': 8, 'model__reg_alpha': 1.0, 'model__n_estimators': 160, 'model__min_child_weight': 10, 'model__max_depth': 2, 'model__max_delta_step': 1, 'model__learning_rate': 0.05, 'model__gamma': 1.0, 'model__colsample_bytree': 0.75}",0.9640004499943751,0.9656504293696329,0.9656866421660542,0.9651125071766874,0.0007864821355061337,3,0.9657435358970994,0.9650497815611347,0.9647504406194922,0.9651812526925755,0.00041595116011629237,0.9670427237172593,0.9687050705970937,0.9687488404478743,0.9681655449207426,0.0007941555436238864,4,0.9687463386059173,0.9682499473776256,0.9678666919484851,0.968287659310676,0.0003601029509309084,0.9640004499943751,0.9656504293696329,0.9656866421660542,0.9651125071766874,0.0007864821355061337,3,0.9657435358970994,0.9650497815611347,0.9647504406194922,0.9651812526925755,0.00041595116011629237,0.963843199333425,0.9654906876303454,0.9655495828003496,0.96496115658804,0.0007908807232540258,3,0.9655674092419873,0.9649139541036911,0.964625857044422,0.9650357401300335,0.0003939153989916827,0.9089422466281815,0.9141553939634843,0.9143078110810355,0.9124684838909004,0.002494202567177407,6,0.9152282500597855,0.9113108541676506,0.9112391469351084,0.9125927503875149,0.0018638096064608714,0.9961353669215409,0.9971585350360094,0.9963381133454853,0.9965440051010118,0.0004423511492480422,4,0.9964926780072438,0.9970981184605073,0.9965773537708056,0.9967227167461855,0.00026769053223261535
91.5691568851471,9.2540158626223,5.808748960494995,1.495764480417015,0.65,20,1.0,160,40,2,5,0.05,1.0,0.55,"{'model__subsample': 0.65, 'model__reg_lambda': 20, 'model__reg_alpha': 1.0, 'model__n_estimators': 160, 'model__min_child_weight': 40, 'model__max_depth': 2, 'model__max_delta_step': 5, 'model__learning_rate': 0.05, 'model__gamma': 1.0, 'model__colsample_bytree': 0.55}",0.9617879776502793,0.9623879701503731,0.9617490437260932,0.9619749971755819,0.0002924482530227533,8,0.9636060225376408,0.9609810061312883,0.9617879776502793,0.9621250021064028,0.0010978363255130317,0.9642920347483773,0.9648927486606586,0.9645088772117005,0.9645645535402455,0.0002483803417774667,8,0.9660654731308504,0.9635566990868516,0.9645580746469724,0.9647267489548915,0.0010311240040443155,0.9617879776502793,0.9623879701503731,0.9617490437260932,0.9619749971755819,0.0002924482530227533,8,0.9636060225376408,0.9609810061312883,0.9617879776502793,0.9621250021064028,0.0010978363255130317,0.9616728025825678,0.9623370117105979,0.9617904560955851,0.9619334234629169,0.0002893938406750446,7,0.9634711025672176,0.9609853221717708,0.9617920979924375,0.9620828409104752,0.001035430547128018,0.908163784836369,0.9109536793871171,0.9078372483531849,0.9089849041922237,0.0013985023762900584,7,0.9139898345680094,0.9073151201396792,0.9065847282508115,0.9092965609861666,0.0033320144820961814,0.9961561744373247,0.9970434406565752,0.9962035485964573,0.9964677212301192,0.0004075542673375911,5,0.9964426468492291,0.9969447780491917,0.9964145617130914,0.9966006622038374,0.00024359663378337607
131.93050074577332,7.998115293898252,3.2907050450642905,0.3287969887695382,0.65,8,0.1,220,20,3,1,0.01,1.0,0.55,"{'model__subsample': 0.65, 'model__reg_lambda': 8, 'model__reg_alpha': 0.1, 'model__n_estimators': 220, 'model__min_child_weight': 20, 'model__max_depth': 3, 'model__max_delta_step': 1, 'model__learning_rate': 0.01, 'model__gamma': 1.0, 'model__colsample_bytree': 0.55}",0.9608504893688828,0.9618254771815352,0.9633240831020775,0.9620000165508319,0.001017354242729914,7,0.9622560141000881,0.9611685073031706,0.9629317133535831,0.9621187449189472,0.0007263406065665024,0.9637854607199519,0.9647207653333196,0.9655796688892737,0.9646952983141818,0.0007327037443665514,7,0.9650971563216928,0.9639871762753135,0.9652812491336669,0.9647885272435577,0.0005716030508342857,0.9608504893688828,0.9618254771815352,0.9633240831020775,0.9620000165508319,0.001017354242729914,7,0.9622560141000881,0.9611685073031706,0.9629317133535831,0.9621187449189472,0.0007263406065665024,0.9608010334452096,0.9617710875616009,0.9631246232480414,0.9618989147516173,0.0009528981183164515,8,0.9622054260669072,0.9611156854520523,0.9627137646344875,0.9620116253844824,0.0006666499814817823,0.906785849682569,0.9115219757076437,0.9206784958166677,0.9129954404022934,0.005766554592741742,5,0.9131921024842493,0.9103357161434088,0.9178082094769104,0.9137786760348562,0.0030787000018958517,0.9953574378599348,0.9962481029346436,0.9958152241156902,0.9958069216367562,0.00036365988431852895,7,0.9957807386652687,0.9963551550068774,0.9956725709574085,0.9959361548765182,0.0002995506581383992
87.27888186772664,7.157010650380731,2.568596601486206,0.43015227304253784,0.75,8,0.1,160,10,2,5,0.05,2.0,0.55,"{'model__subsample': 0.75, 'model__reg_lambda': 8, 'model__reg_alpha': 0.1, 'model__n_estimators': 160, 'model__min_child_weight': 10, 'model__max_depth': 2, 'model__max_delta_step': 5, 'model__learning_rate': 0.05, 'model__gamma': 2.0, 'model__colsample_bytree': 0.55}",0.9631379607754903,0.9660254246821914,0.9661366534163354,0.9651000129580057,0.001388123321373118,4,0.9650310314439465,0.9652560328502053,0.9649191885101436,0.9650687509347652,0.00014007878104510194,0.9657271187384383,0.9688351237265279,0.9690763741974581,0.9678795388874747,0.0015251742678383995,5,0.9676070494608698,0.9682539449051818,0.9678303805937079,0.9678971249865865,0.00026827789007351455,0.9631379607754903,0.9660254246821914,0.9661366534163354,0.9651000129580057,0.001388123321373118,4,0.9650310314439465,0.9652560328502053,0.9649191885101436,0.9650687509347652,0.00014007878104510194,0.962966011178528,0.9658170868528712,0.965948560508718,0.9649105528467058,0.0013760457974464446,4,0.9648457580602986,0.9650956631709287,0.9647490451720434,0.9648968221344235,0.00014604032328431816,0.9099195271876124,0.9160780344764948,0.916376197723344,0.9141245864624837,0.002975916436923718,4,0.9167144609283387,0.9124495870455134,0.9130659201554856,0.9140766560431125,0.0018821047765740543,0.9962935972511607,0.997174293881132,0.9964571576961928,0.9966416829428285,0.0003824864385353264,2,0.9965506641852285,0.9971413752682089,0.9966354577015908,0.9967758323850093,0.00026078558842801235
76.72712930043538,1.4499361585443524,2.8253019650777182,0.4932875163804086,0.55,20,0.5,160,40,2,1,0.03,0.5,0.75,"{'model__subsample': 0.55, 'model__reg_lambda': 20, 'model__reg_alpha': 0.5, 'model__n_estimators': 160, 'model__min_child_weight': 40, 'model__max_depth': 2, 'model__max_delta_step': 1, 'model__learning_rate': 0.03, 'model__gamma': 0.5, 'model__colsample_bytree': 0.75}",0.9527880901488731,0.9572130348370645,0.9540988524713118,0.9546999924857498,0.0018558126451965863,9,0.9545497159357246,0.9554497215607598,0.9544568192897589,0.9548187522620811,0.0004477716223063171,0.9570358415935719,0.9599244669642633,0.9581148893945763,0.9583583993174706,0.0011917807250668689,9,0.958625006861046,0.9582073944503285,0.9583245602149788,0.9583856538421177,0.00017587752339637248,0.9527880901488731,0.9572130348370645,0.9540988524713118,0.9546999924857498,0.0018558126451965863,9,0.9545497159357246,0.9554497215607598,0.9544568192897589,0.9548187522620811,0.0004477716223063171,0.9536552465198407,0.9574002944825194,0.9548631791925917,0.9553062400649838,0.00156067790039558,9,0.9553464963449197,0.9557030667670954,0.9551181808679585,0.9553892479933245,0.00024068465722223582,0.8807732520494804,0.9033278812122392,0.888731289225318,0.8909441408290125,0.009339891445920626,9,0.8873955133377035,0.9003537994573085,0.8877721984498255,0.8918405037482792,0.006021773038480552,0.9947787189181674,0.9959582132836727,0.9951651553390928,0.9953006958469777,0.0004909719350587369,9,0.9952430517191131,0.9957995162775105,0.9952986626045467,0.9954470768670568,0.0002502442755594556
85.66923658053081,2.9048533714943705,2.5786197980244956,0.1946212007474748,0.75,8,0.5,160,40,3,1,0.05,0.5,0.65,"{'model__subsample': 0.75, 'model__reg_lambda': 8, 'model__reg_alpha': 0.5, 'model__n_estimators': 160, 'model__min_child_weight': 40, 'model__max_depth': 3, 'model__max_delta_step': 1, 'model__learning_rate': 0.05, 'model__gamma': 0.5, 'model__colsample_bytree': 0.65}",0.9673754078074024,0.9700378745265684,0.9686867171679292,0.9686999998339667,0.0010869880648162562,1,0.9697748110925694,0.9696248101550635,0.9675254059324259,0.9689750090600194,0.0010268518201961665,0.9701286082960618,0.9724196717210338,0.9712760322565863,0.971274770757894,0.0009353231519445754,1,0.97252779154618,0.9720945223559861,0.9701204261083498,0.9715809133368386,0.0010477588005602058,0.9673754078074024,0.9700378745265684,0.9686867171679292,0.9686999998339667,0.0010869880648162562,1,0.9697748110925694,0.9696248101550635,0.9675254059324259,0.9689750090600194,0.0010268518201961665,0.9669834528234919,0.9696729786450143,0.9683012883786919,0.9683192399490661,0.0010980676907848092,1,0.969390249444886,0.9692534485484844,0.9671427721589982,0.9685954900507895,0.0010287437569391883,0.922347908869658,0.9315115085982723,0.9275995450955034,0.9271529875211445,0.0037543264151267486,1,0.930671600437775,0.9306074612410807,0.9242107357206751,0.928496599133177,0.0030306762009057095,0.9969877381748745,0.9979268701552128,0.996994719357463,0.9973031092291834,0.0004410747887137478,1,0.9972811686123518,0.9980043372348615,0.9972975255397805,0.997527677128998,0.00033711573646659287
92.23815727233887,1.519267504181657,1.4612166086832683,0.3662677922256747,0.65,12,1.0,220,25,3,1,0.01,2.0,0.75,"{'model__subsample': 0.65, 'model__reg_lambda': 12, 'model__reg_alpha': 1.0, 'model__n_estimators': 220, 'model__min_child_weight': 25, 'model__max_depth': 3, 'model__max_delta_step': 1, 'model__learning_rate': 0.01, 'model__gamma': 2.0, 'model__colsample_bytree': 0.75}",0.9636254546818165,0.9652754340570743,0.9659491487287182,0.964950012489203,0.0009761533020068966,5,0.9654247839048994,0.9647872799204995,0.964825439682004,0.9650125011691343,0.00029194386732953373,0.9670975460662481,0.9685360557823889,0.969318615244846,0.9683174056978276,0.0009198343940218587,3,0.9688595231616977,0.9680421500430301,0.9681784615856649,0.9683600449301308,0.0003575416870992634,0.9636254546818165,0.9652754340570743,0.9659491487287182,0.964950012489203,0.0009761533020068966,5,0.9654247839048994,0.9647872799204995,0.964825439682004,0.9650125011691343,0.00029194386732953373,0.9634997555928209,0.9650619311919693,0.9657841039626823,0.9647819302491575,0.0009533667586344712,5,0.9652860100059051,0.9645650583065459,0.9646650614637525,0.9648387099254011,0.00031891292372361856,0.9077198331274483,0.9189451053788964,0.9161665253791257,0.9142771546284901,0.004773466640699085,3,0.9145147877464012,0.9180115511254748,0.9124852220231167,0.9150038536316641,0.0022824646644930167,0.9951567663449967,0.9959701576648385,0.9956849275899716,0.995603950533269,0.0003369661927480486,8,0.9956366146470019,0.9960619131645503,0.9955312584640406,0.9957432620918643,0.00022938884151154653
