Model,Train Accuracy,Train F1-Score,CV Accuracy Mean,CV Accuracy Std,CV F1-Score Mean,CV F1-Score Std,CV F1-Macro Mean,CV ROC-AUC Mean,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test F1-Macro,Test ROC-AUC,Overfit Gap F1,Generalization Gap F1,Selection Score
MLP Classifier,0.9707,0.9701248567186224,0.9702000092095527,0.000704726538917522,0.9695942257963378,0.0006704794736549733,0.9376528953358193,0.9965546820033838,0.9745472669878718,0.974909442996217,0.9745472669878718,0.9740187533984294,0.9377186613995512,0.996865940842015,0.0005306309222845584,-0.004424527602091555,1.2953705183719955
XGBoost,0.9689,0.9685023685425805,0.9686999998339667,0.0010869880648162562,0.9683192399490661,0.0010980676907848092,0.9271529875211445,0.9973031092291834,0.9729855457717229,0.9742511517130583,0.9729855457717229,0.9726933575561701,0.9236335723842478,0.9972748936528139,0.00018312859351443667,-0.004374117607104044,1.2902603930128682
Extra Trees + SMOTE,0.9591125,0.959061361992279,0.9587249899869764,0.0014051842265019674,0.9587455110805797,0.001282342094840527,0.9029816651450203,0.9958253979943382,0.9643794650274132,0.9659030159936802,0.9643794650274132,0.9645311223567411,0.8988686776968361,0.995924351647462,0.00031585091169927804,-0.005785611276161395,1.2715927078682572
Extra Trees,0.9580375,0.9581838078278655,0.9573625027992109,0.0006919627992130715,0.95744514237825,0.0006241315271070469,0.9005048572914692,0.9956296910693799,0.9636484465858116,0.9652927516824594,0.9636484465858116,0.9638841487642994,0.8971516863711252,0.9959516199552255,0.0007386654496155387,-0.0064390063860494395,1.269896248476819
Random Forest,0.956925,0.9576098774259295,0.9567874982677244,0.000726170726108128,0.9574956424602513,0.0006444557821240444,0.8856821936899228,0.9951596396636625,0.9615883037049344,0.9660479972615506,0.9615883037049344,0.9628698014855335,0.869479627591537,0.9954437187218576,0.00011423496567819491,-0.005374159025282155,1.2659670287561198
Random Forest + SMOTE,0.9608375,0.9608692029365892,0.9579874992056112,0.002526404407077648,0.9585612706720278,0.002122601847223981,0.8932298030417257,0.9948048674359047,0.9669712576840007,0.9684829654506685,0.9669712576840007,0.9671045718313168,0.9020507484391512,0.9950797844365779,0.0023079322645613853,-0.00854330115928903,1.262330633513061
KNN,0.992725,0.9926900139236723,0.9524499601408923,0.0023324816264026827,0.9514941108318076,0.0022761956570617335,0.9212866131898996,0.9905188967144012,0.9520850639641136,0.9555751958662212,0.9520850639641136,0.9534262912671326,0.9185471043907786,0.9899403745955877,0.041195903091864716,-0.0019321804353250593,1.1870002279504195
