Model,Imbalance Method,Accuracy,Balanced Accuracy,Macro F1,Weighted F1,Minority Class Recall,False Alarm Rate,Attack Recall,ROC AUC Macro OvR,ROC AUC Weighted OvR,Train Macro F1,Test Macro F1,Train/Test Gap,Fit Seconds,Benign Recall,Benign F1,LDAP Flood Recall,LDAP Flood F1,MSSQL Flood Recall,MSSQL Flood F1,NetBIOS Flood Recall,NetBIOS Flood F1,TCP SYN Flood Recall,TCP SYN Flood F1,UDP Flood Recall,UDP Flood F1,UDP-Lag Flood Recall,UDP-Lag Flood F1,Notes,CV Macro F1 Mean,CV Macro F1 Std,CV Weighted F1 Mean,CV Balanced Accuracy Mean,CV Minority Recall Mean,Selection Score
Random Forest,baseline,0.9682592054902996,0.8855324251135398,0.908123619591365,0.9675235186556883,0.6526946107784432,0.0015523430678179879,0.9953502324883756,0.9917391882688733,0.9957756473279237,0.9035829250260037,0.908123619591365,-0.004540694565361325,4.926183700561523,0.998447656932182,0.9947320090860761,0.8694852941176471,0.871889400921659,0.9636140637775961,0.9431772709083633,0.6526946107784432,0.7841726618705036,0.9794893260778569,0.9894814736508272,0.9840145322434151,0.9514358478967243,0.7509814918676389,0.8219766728054021,OK,0.8234691218411786,0.012285052021496736,0.8337090968818539,0.8227855742825803,0.46546546546546547,1.4558540312589714
Random Forest,class_weight,0.9569420615019136,0.9067742613609182,0.8766007679353366,0.9572858035558123,0.7844311377245509,0.013874066168623266,0.9966001699915005,0.9914650194969221,0.9952502422469403,0.8674702639655786,0.8766007679353366,-0.009130503969758008,5.352829933166504,0.9861259338313767,0.9897268610935294,0.9650735294117647,0.8502024291497976,0.937857726901063,0.8959187658660418,0.7844311377245509,0.670076726342711,0.979593972373378,0.9895348837209302,0.9422343324250682,0.9367888748419722,0.752103196859226,0.8039568345323741,OK,0.8366066060563969,0.02041792872019659,0.8400539501706423,0.8378305593874456,0.7417417417417417,1.4955099021378415
Extra Trees,class_weight,0.9587237693018344,0.908622482486707,0.8681765548070486,0.9593284915372977,0.7904191616766467,0.013777044726884641,0.9966501674916254,0.9888783005874033,0.9941599473916092,0.8614576053664458,0.8681765548070486,-0.006718949440602806,5.622815847396851,0.9862229552731153,0.9898242368177613,0.96875,0.8351822503961965,0.9272281275551921,0.9154389505549949,0.7904191616766467,0.6,0.979593972373378,0.9890643985419199,0.9560399636693915,0.9435281462889925,0.752103196859226,0.8041979010494753,OK,0.8474745844691801,0.021024234396471986,0.8529369271605697,0.8489507471543399,0.7477477477477477,1.4905417562670487
KNN,RandomUnderSampler,0.9290616338920417,0.8919588824419843,0.8756697358213456,0.9339922327898335,0.7964071856287425,0.0026195789269428545,0.9981000949952502,0.9699339251152885,0.9870292627446077,0.9201688855222884,0.8756697358213456,0.04449914970094282,4.189637184143066,0.9973804210730571,0.9968484848484849,0.9485294117647058,0.9255605381165919,0.9656582174979559,0.9508856682769726,0.7964071856287425,0.8134556574923547,0.8862494767685224,0.9338405557393318,0.9287920072661217,0.9277808020322991,0.7206954570947841,0.5813164442433838,OK,0.8662965002336852,0.008542820799650205,0.8677286903344025,0.8657613986955305,0.8063063063063063,1.4857382618209773
XGBoost,baseline,0.9715916589679292,0.9051525458059559,0.919873500774341,0.9709134702063168,0.7604790419161677,0.0011642573008634907,0.9962001899905005,0.9943038792484716,0.996795542232796,0.9148880807193344,0.919873500774341,-0.004985420055006684,25.967766284942627,0.9988357426991366,0.9957442692716897,0.8878676470588235,0.8742081447963801,0.9681112019623875,0.945309381237525,0.7604790419161677,0.8355263157894737,0.9862913352867309,0.9929414243573536,0.9823796548592189,0.952783650458069,0.752103196859226,0.8426013195098964,OK,0.9047322871004755,0.00283988815746418,0.9083000013632864,0.903105415081463,0.7747747747747747,1.5264011581839139
XGBoost,RandomUnderSampler,0.9679622541903128,0.9056299541313562,0.9144400675974634,0.9674268051818878,0.7664670658682635,0.0033957504608518483,0.9964501774911254,0.9939088652167888,0.996516146567987,0.910670824757787,0.9144400675974634,-0.00376924283967639,13.905088186264038,0.9966042495391482,0.9948668280871671,0.8952205882352942,0.8798554652213189,0.9750613246116108,0.9404574132492114,0.7664670658682635,0.8258064516129032,0.9793846797823357,0.9894280579342425,0.9745685740236149,0.9504827708388697,0.752103196859226,0.8201834862385321,OK,0.9053241657078237,0.0027962568714615882,0.908854630429888,0.9036769875093228,0.7747747747747747,1.5240810890644343
MLP Classifier,RandomOverSampler,0.9633430117460736,0.8930057706500919,0.906408990216443,0.9620766487578838,0.7844311377245509,0.0022314931599883574,0.9966001699915005,0.9888219446345303,0.9945367752432506,0.907304848847885,0.906408990216443,0.0008958586314420369,129.69784235954285,0.9977685068400116,0.9955951401326298,0.875,0.8646684831970936,0.9529844644317252,0.9337071900660925,0.7844311377245509,0.8397435897435898,0.980326496442026,0.9826401636335029,0.979654859218892,0.9485533374373406,0.680874929893438,0.7799550273048507,OK,0.7860393347644083,0.05410129850906845,0.7928608746027669,0.8090130335639317,0.9054054054054054,1.5216520370833808
