model,train_f1_weighted,validation_f1_weighted,test_f1_weighted,validation_test_f1_gap,train_validation_f1_gap
Extra Trees,0.9927366228637277,0.9917928681245027,0.6424855696990219,0.3493072984254808,0.0009437547392249224
KNN,0.9964384487213959,0.9922000040500095,0.7120750638689156,0.2801249401810939,0.004238444671386343
MLP Classifier,0.988091666060022,0.9883309843046386,0.7087141137398202,0.27961687056481843,-0.00023931824461664863
Random Forest,0.9949673896820163,0.9935780066796203,0.6464134125731378,0.3471645941064825,0.001389383002395994
XGBoost,0.9939611649483238,0.9922771831312357,0.7095663623679123,0.28271082076332343,0.001683981817088065
